M2400 Base, 50.00 Ibs, with 20 MPH Crosswind.CSV,13000.37,24.510552999999998,11.030243,1010.857,2202.547
M2400 Base, 50.00 Ibs, with 4 MPH Crosswind.CSV,13214.8,24.730552999999997,10.810233,1019.002,2216.842
M2400 Base, 50.00 Ibs, with 8 MPH Crosswind.CSV,13188.54,24.700553,10.840243000000001,1018.002,2215.093
M2400 Base, 52.00 Ibs, with 0 MPH Crosswind.CSV,12598.82,24.250542999999997,11.700263,977.178295374298,2122.842
M2400 Base, 52.00 Ibs, with 12 MPH Crosswind.CSV,12513.6,24.150543,11.790263,974.356,2117.936
M2400 Base, 52.00 Ibs, with 16 MPH Crosswind.CSV,12454.24,24.090543,11.870263,972.0751,2113.956
M2400 Base, 52.00 Ibs, with 20 MPH Crosswind.CSV,12375.81,23.990543,11.970263000000001,969.0569,2108.685
M2400 Base, 52.00 Ibs, with 4 MPH Crosswind.CSV,12580.85,24.220543,11.710263000000001,976.9558,2122.469
M2400 Base, 52.00 Ibs, with 8 MPH Crosswind.CSV,12555.65,24.190542999999998,11.740263,975.9802,2120.768
M2400 Base, 54.00 Ibs, with 0 MPH Crosswind.CSV,11985.44,23.730532999999998,12.730283000000002,937.901060105048,2035.347
M2400 Base, 54.00 Ibs, with 12 MPH Crosswind.CSV,11902.61,23.650533,12.850283,935.0775,2030.47
M2400 Base, 54.00 Ibs, with 16 MPH Crosswind.CSV,11844.71,23.570532999999998,12.940282999999999,932.8106,2026.539
M2400 Base, 54.00 Ibs, with 20 MPH Crosswind.CSV,11769.16,23.480522999999998,13.060293,929.8512,2021.406
M2400 Base, 54.00 Ibs, with 4 MPH Crosswind.CSV,11968.18,23.700533,12.740283,937.663,2034.947
M2400 Base, 54.00 Ibs, with 8 MPH Crosswind.CSV,11943.71,23.690533,12.780282999999999,936.6959,2033.271
